2026-03-13 23:29:32.230 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 401 | 0.0021s
2026-03-13 23:29:32.237 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 422 | 0.0019s
2026-03-13 23:29:58.253 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4576s
2026-03-13 23:29:58.662 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4003s
2026-03-13 23:29:59.064 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 400 | 0.3999s
2026-03-13 23:29:59.471 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4008s
2026-03-13 23:29:59.885 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4116s
2026-03-13 23:29:59.899 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 401 | 0.0034s
2026-03-13 23:29:59.909 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 422 | 0.0019s
2026-03-13 23:30:30.369 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4607s
2026-03-13 23:30:30.782 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4047s
2026-03-13 23:30:31.186 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 400 | 0.4019s
2026-03-13 23:30:31.592 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.3999s
2026-03-13 23:30:32.007 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4131s
2026-03-13 23:30:32.015 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 401 | 0.0022s
2026-03-13 23:30:32.023 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 422 | 0.0018s
2026-03-13 23:30:32.033 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/ | 200 | 0.0022s
2026-03-13 23:30:33.402 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.9591s
2026-03-13 23:30:34.123 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4025s
2026-03-13 23:30:34.525 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3992s
2026-03-13 23:30:34.759 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/1 | 200 | 0.0019s
2026-03-13 23:30:35.565 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3991s
2026-03-13 23:30:36.591 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4033s
2026-03-13 23:30:36.827 | INFO     | app.middleware.logging:logging_middleware:12 - GET /health | 200 | 0.0009s
2026-03-13 23:30:36.833 | INFO     | app.middleware.logging:logging_middleware:12 - GET /health | 200 | 0.0008s
2026-03-13 23:30:36.838 | INFO     | app.middleware.logging:logging_middleware:12 - GET /nonexistent-endpoint | 404 | 0.0006s
2026-03-13 23:30:36.845 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 422 | 0.0019s
